"Name","L&G Fund Code","ISIN","Asset class","Style","ABI sector","Benchmark","Investment management charge","Additional expenses","Basic annual management charge","External funds annual management charge","Fund management charge","Fact sheet"
"L&G PMC Global Fossil Fuel Exclusions Equity Index 3","BPX3","BPX3","Equity","Passive","Global Equities","FTSE All-World TPI Transition ex FF ex Tobacco ex Controversies Index","0.12","0.05","0.12","","0.17","https://fundcentres.lgim.com/srp/documents-id/ed4b72a2-f75f-428f-8ba4-9d5000eda8f6/Fact-Sheet_FTSE-TPI-Global-Fossil-Fuel-Exclusions-Equity-Index-Fund-LG-PMC-Global-Fossil-Fuel-Exclusions-Equity-Index-3.pdf,Fact sheet,English"
"L&G PMC Future World Fund 3","BJ13","GB00BD1JRB64","Equity","Passive","Global Equities","FTSE All-World ex CW Climate Balanced Factor Index","0.24","0","0.24","","0.24","https://fundcentres.lgim.com/srp/documents-id/1af89320-ddba-4298-a429-5979680fa4e4/Fact-Sheet_Future-World-Fund-LG-PMC-Future-World-Fund-3.pdf,Fact sheet,English"
"L&G PMC Future World GBP Corporate Bond Index 3","B7Z3","B7Z3","Fixed interest","Passive","Sterling Corporate Bond","Solactive L&G ESG GBP Investment Grade Corporate TR Index","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/8a37c9c9-c7ef-4b9f-b56c-92500052fdd1/Fact-Sheet_Future-World-GBP-Corporate-Bond-Index-Fund-LG-PMC-Future-World-GBP-Corporate-Bond-Index-3.pdf,Fact sheet,English"
"L&G PMC Future World Global Equity Index Fund 3","B1D3","B1D3","Equity","Passive","Global Equities","Solactive L&G ESG Global Markets Index","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/231c784a-2c92-4b64-9d5d-11a132a49348/Fact-Sheet_Future-World-Global-Equity-Index-Fund-LG-PMC-Future-World-Global-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Future World Multi-Asset Fund 3","BT63","GB00BD1FVF68","Multi-asset","Active","Mixed Investment 40-85% Shares","ABI Mixed Investment 40-85% Shares Sector","0.16","0","0.16","","0.16","https://fundcentres.lgim.com/srp/documents-id/f2cff18e-74f2-4955-90f5-06e193b2734c/Fact-Sheet_Future-World-Multi-Asset-Fund-LG-PMC-Future-World-Multi-Asset-Fund-3.pdf,Fact sheet,English"
"L&G PMC Global Developed Equity Index Fund 3","BAW3","BAW3","Equity","Passive","Global Equities","FTSE Developed World Index","0.1","0","0.1","","0.1","https://fundcentres.lgim.com/srp/documents-id/c6e492c2-4bf3-42ef-a498-8aeb7dcb7e4b/Fact-Sheet_World-Developed-Equity-Index-Fund-LG-PMC-Global-Developed-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Global Smaller Companies Equity Index 3","BMJ3","BMJ3","Equity","Passive","Global Equities","MSCI World Small Cap ex Selected Securities Index","0.22","0.00","0.22","","0.22","https://fundcentres.lgim.com/srp/documents-id/a18f27a8-6ac6-4f81-be6f-aa98bdf1c91a/Fact-Sheet_MSCI-World-Small-Cap-ESG-Exclusions-Equity-Index-Fund-LG-PMC-Global-Smaller-Companies-Equity-Index-3.pdf,Fact sheet,English"
"L&G PMC Global Equity (70:30) Index Fund 3","NEO3","GB00B4PCJX45","Equity","Passive","Global Equities","Composite of 70/30 distribution between UK and overseas","0.100","0","0.100","","0.100","https://fundcentres.lgim.com/srp/documents-id/29fa042b-196b-487e-96d0-fe512935e262/Fact-Sheet_Global-Equity-7030-Index-Fund-LG-PMC-Global-Equity-7030-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Global Equity Fixed Weights (50:50) Index Fund 3","NDZ3","GB00B4QVNX86","Equity","Passive","Global Equities","Composite of 50/50 distribution between UK and overseas","0.100","0","0.100","","0.100","https://fundcentres.lgim.com/srp/documents-id/6a651fd9-8959-40e2-9f3e-49f8457be02c/Fact-Sheet_Global-Equity-Fixed-Weights-5050-Index-Fund-LG-PMC-Global-Equity-Fixed-Weights-5050-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Global Equity Fixed Weights (50:50) Index Fund - GBP Currency Hedged Fund 3","NQN3","GB00B4TLJ045","Equity","Passive","Global Equities","Composite of 50/50 distribution between UK and overseas","0.150","0","0.150","","0.150","https://fundcentres.lgim.com/srp/documents-id/70f10403-9fa3-4bc5-bb72-9a0696c1cdb4/Fact-Sheet_Global-Equity-Fixed-Weights-5050-Index-Fund-LG-PMC-Global-Equity-Fixed-Weights-5050-Index-Fund-GBP-Currency-Hedged-Fund-3.pdf,Fact sheet,English"
"L&G PMC Global Equity Fixed Weights (60:40) Index Fund 3","NDY3","GB00B3WTGT62","Equity","Passive","Global Equities","Composite of 60/40 distribution between UK and overseas","0.100","0","0.100","","0.100","https://fundcentres.lgim.com/srp/documents-id/8bef7037-384f-44f9-acd4-b0d1d80c9dcf/Fact-Sheet_Global-Equity-Fixed-Weights-6040-Index-Fund-LG-PMC-Global-Equity-Fixed-Weights-6040-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Global Equity Market Weights (30:70) Index Fund - GBP 75% Currency Hedged 3","NRJ3","GB00B4YNPZ25","Equity","Passive","Global Equities","Composite of 30/70 distribution between UK and overseas, 75% GBP Hedged","0.140","0","0.140","","0.140","https://fundcentres.lgim.com/srp/documents-id/76470b77-cb73-485f-aae0-498e4b3ff963/Fact-Sheet_Global-Equity-Market-Weights-3070-Index-Fund-GBP-75-Currency-Hedged-LG-PMC-Global-Equity-Market-Weights-3070-Index-Fund-GBP-75-Currency-Hedged-3.pdf,Fact sheet,English"
"L&G PMC Global Real Estate Equity Index Fund 3","B7O3","GB00BD1FVH82","Equity","Passive","Property Other","FTSE EPRA/NAREIT Developed Real Estate Index","0.19","0","0.19","","0.19","https://fundcentres.lgim.com/srp/documents-id/b94532f3-2748-4927-87a5-a375683877ff/Fact-Sheet_Global-Real-Estate-Equity-Index-Fund-LG-PMC-Global-Real-Estate-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC HSBC Global Sukuk Fund 3","BFR3","DNCV00000000","Fixed interest","Active","Specialist","tbc","0.20","0.12","0.20","","0.32","https://fundcentres.lgim.com/srp/documents-id/f63c3d14-1cb6-4b50-9a41-09cc6f79cddd/Fact-Sheet_Global-Sukuk-LG-PMC-HSBC-Global-Sukuk-Fund-3.pdf,Fact sheet,English"
"L&G PMC HSBC Islamic Global Equity Index Fund 3","BB43","GB00BD1JRG10","Equity","Passive","Global Equities","","0.23","0.12","0.23","","0.35","https://fundcentres.lgim.com/srp/documents-id/78281500-21b2-48e1-8d69-fdfbaef6834a/Fact-Sheet_HSBC-Islamic-Global-Equity-Index-Fund-Legal-General-Pension-PMC-HSBC-Islamic-Global-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC HSBC Shariah Multi-Asset Fund 3","BFQ3","DNCU00000000","Multi-asset","Active","Flexible Investment","CPI + 4%","0.15","0.17","0.15","","0.32","https://fundcentres.lgim.com/srp/documents-id/8d2c4bf7-df16-495a-9adc-6d61145075bb/Fact-Sheet_Shariah-Multi-Asset-LG-PMC-HSBC-Shariah-Multi-Asset-Fund-3.pdf,Fact sheet,English"
"L&G PMC High Income Fund 3","EID3","GB00B4YBBW51","Fixed interest","Active","Sterling High Yield","ICE BofA BB-B Global High Yield Non Financials 2% Constrained Total Return Index (GBP Hedged).","0.3","0","0.3","","0.3","https://fundcentres.lgim.com/srp/documents-id/46f66f48-e32f-4e68-9039-4a2f8dd30fc4/Fact-Sheet_High-Yield-Bond-Fund-LG-PMC-High-Income-Fund-3.pdf,Fact sheet,English"
"L&G PMC Baillie Gifford Positive Change Fund 3","B3Z3","B3Z3","Equity","Active","Global Equities","","0.5","0.03","0.5","","0.53","https://fundcentres.lgim.com/srp/documents-id/46e6203b-7786-4f5e-91ff-1738b29dabcb/Fact-Sheet_Baillie-Gifford-Positive-Change-LG-PMC-Baillie-Gifford-Positive-Change-Fund-3.pdf,Fact sheet,English"
"L&G PMC Index-Linked Gilt Fund 3","B1N3","GB00BGYBVQ32","Fixed interest","Active","UK Index-linked Gilts","FTSE Actuaries UK Index-Linked Gilts Over 5 Years Index","0.09","0.00","0.09","","0.09","https://fundcentres.lgim.com/srp/documents-id/597ecc7f-38f4-4e35-a63c-3dd810b4222b/Fact-Sheet_Index-Linked-Bond-Fund-LG-PMC-Index-Linked-Gilt-Fund-3.pdf,Fact sheet,English"
"L&G PMC International Fund 3","B2N3","GB00BGYBVS55","Equity","Active","Global Equities","","0.3","0","0.3","","0.3","https://fundcentres.lgim.com/srp/documents-id/72c82532-c9ff-460f-a064-7f04cea837f5/Fact-Sheet_LG-Pension-International-Fund-LG-PMC-International-Fund-3.pdf,Fact sheet,English"
"Islamic Growth Fund 3","BGN3","","Multi-asset","Active","Flexible Investment","CPI + 5%","0.20","0.14","0.20","","0.34","https://fundcentres.lgim.com/srp/documents-id/349c2744-3205-4f3f-a4d7-083590d5ac23/Fact-Sheet_Islamic-Growth-Islamic-Growth-Fund-3.pdf,Fact sheet,English"
"Islamic Retirement Fund 3","BGO3","","Multi-asset","Active","Flexible Investment","CPI + 3%","0.19","0.13","0.19","","0.32","https://fundcentres.lgim.com/srp/documents-id/b4bccd9b-6ad0-4a76-85c4-ff7214fb4f2d/Fact-Sheet_Islamic-Retirement-Islamic-Retirement-Fund-3.pdf,Fact sheet,English"
"L&G PMC Janus Henderson Diversified Alternatives 3","B8O3","GB00BD1FVJ07","Multi-asset","Active","Specialist","","0.55","0.27","0.55","","0.82","https://fundcentres.lgim.com/srp/documents-id/c2f55d57-b32e-4402-883f-b3bd2c97123b/Fact-Sheet_Janus-Henderson-Diversified-Alternatives-Fund-LG-PMC-Janus-Henderson-Diversified-Alternatives-3.pdf,Fact sheet,English"
"L&G PMC Janus Henderson Fixed Interest Monthly Income Fund 3","B7N3","GB00BD1FVN43","Fixed interest","Active","Sterling Strategic Bond","","0.62","0.04","0.62","","0.66","https://fundcentres.lgim.com/srp/documents-id/4aba161f-9c06-4a0b-b1c1-1677eba85ebd/Fact-Sheet_Janus-Henderson-Fixed-Interest-Monthly-Income-Fund-LG-PMC-Janus-Henderson-Fixed-Interest-Monthly-Income-Fund-3.pdf,Fact sheet,English"
"L&G PMC Japan Equity Index Fund 3","NBW3","GB00B4ZFV486","Equity","Passive","Japan Equities","FTSE Japan Index","0.120","0","0.120","","0.120","https://fundcentres.lgim.com/srp/documents-id/fedc3855-50ac-4f28-8713-effecbe1d7ba/Fact-Sheet_Japan-Equity-Index-Fund-LG-PMC-Japan-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Lazard Emerging Markets 3","B3M3","GB00BD1JRJ41","Equity","Active","Global Emerging Markets Equities","MSCI EM (Emerging Markets) Index","0.90","0.08","0.90","","0.98","https://fundcentres.lgim.com/srp/documents-id/101f3ace-4f09-4279-8a69-d7fff7201b0c/Fact-Sheet_Lazard-Emerging-Markets-Fund-LG-PMC-Lazard-Emerging-Markets-3.pdf,Fact sheet,English"
"L&G PMC M&G PP All Stocks Corporate Bond 3","B5O3","GB00BD1JRM79","Fixed interest","Active","Sterling Fixed Interest","iBoxx Sterling Non-gilts index","0.35","0.02","0.35","","0.37","https://fundcentres.lgim.com/srp/documents-id/4a1e8fa8-71ba-4fd3-8471-f74cd9c10299/Fact-Sheet_MG-PP-All-Stocks-Corporate-Bond-Fund-LG-PMC-MG-PP-All-Stocks-Corporate-Bond-3.pdf,Fact sheet,English"
"L&G PMC MFS Meridian Global Equity 3","B4O3","GB00BD1JRS32","Equity","Active","Global Equities","MSCI World Index","0.60","0.07","0.60","","0.67","https://fundcentres.lgim.com/srp/documents-id/ff5593b4-d7f1-4320-ae2f-18eeaefeeb56/Fact-Sheet_MFS-Meridian-Global-Equity-Fund-LG-PMC-MFS-Meridian-Global-Equity-3.pdf,Fact sheet,English"
