"Name","L&G Fund Code","ISIN","Asset class","Style","ABI sector","Benchmark","Investment management charge","Additional expenses","Basic annual management charge","External funds annual management charge","Fund management charge","Fact sheet"
"L&G PMC 2025 - 2030 Target Date Fund 3","BE33","GB00BD8PDP36","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/cc5899b4-d7d2-47d5-ba79-e6bfee90739a/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2025-2030-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC 2030 - 2035 Target Date Fund 3","BE43","GB00BD8PDQ43","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/78f88901-dbe7-4c06-8526-ee8da6579c87/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2030-2035-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC 2035 - 2040 Target Date Fund 3","BE53","GB00BD8PDR59","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/bc0a9aba-ee52-41a8-a149-baad3199ce13/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2035-2040-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC 2040 - 2045 Target Date Fund 3","BE63","GB00BD8PDS66","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/6cd2e669-9ec2-46c9-b9c3-9184eb39a192/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2040-2045-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC 2045 - 2050 Target Date Fund 3","BE73","GB00BD8PDT73","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/c4382e52-a81f-47c2-a0c9-e3272e64d7b1/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2045-2050-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC 2050 - 2055 Target Date Fund 3","BE83","GB00BD8PDV95","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/ee5d3b5d-8a11-4ddf-9b95-f53c261590a6/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2050-2055-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC 2055 - 2060 Target Date Fund 3","BE93","GB00BD8PDW03","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/fbcf4a93-16ed-4912-b4af-bbda1d01c149/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2055-2060-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC 2060 - 2065 Target Date Fund 3","BE03","GB00BD8PDX10","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/5d29b9fe-3ddc-4877-837f-4ffe2d00a48e/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2060-2065-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC 2065 - 2070 Target Date Fund 3","BF13","GB00BD8PDY27","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/d7fdeb30-67ae-46ea-9cc2-4d10ee90d097/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2065-2070-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC 2070 - 2075 Target Date Fund 3","BQB3","DFKR","Target date","Active","Specialist","Composite","0.15","0","0.15","","0.15","https://fundcentres.lgim.com/srp/documents-id/09e1cb16-974e-44fa-95a2-c080576f5ce0/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2070-2075-Target-Date-Fund-3.pdf,Fact sheet,English"
"L&G PMC CT Dynamic Real Return Fund 3","BB63","GB00BD1JSD53","Multi-asset","Active","Specialist","UK Consumer Price Index + 4%","0.55","0","0.55","","0.55","https://fundcentres.lgim.com/srp/documents-id/d3844bb6-08f4-4534-a682-4d923a7233d9/Fact-Sheet_CT-Dynamic-Real-Return-Fund-LG-PMC-CT-Dynamic-Real-Return-Fund-3.pdf,Fact sheet,English"
"L&G PMC CT Global Select 3","B3P3","GB00BD1JSF77","Equity","Active","Global Equities","MSCI AC World Index","0.45","0.06","0.45","","0.51","https://fundcentres.lgim.com/srp/documents-id/55d8ceaf-a685-4796-8a7b-a19d5aa68cb5/Fact-Sheet_CT-Global-Select-Fund-LG-PMC-CT-Global-Select-3.pdf,Fact sheet,English"
"L&G PMC CT Managed Equity 3","B0M3","GB00BD1JSK21","Equity","Active","Flexible Investment","Composite. IA Flexible Investment prior to 6 May 2020","0.4","0.09","0.4","","0.49","https://fundcentres.lgim.com/srp/documents-id/10b8c65c-2187-4da0-a904-1a94cb7f432d/Fact-Sheet_Threadneedle-Managed-Equity-Fund-LG-PMC-CT-Managed-Equity-3.pdf,Fact sheet,English"
"L&G PMC UK Equity 5% Capped Passive Fund 3","NNM3","GB00B4MGHC41","Equity","Passive","UK All Companies","Composite of FTSE All-Share Core Index (a customised index) and the performance of the capped single stocks","0.100","0","0.100","","0.100","https://fundcentres.lgim.com/srp/documents-id/4271ae0c-5182-4fbe-8652-817b8cf0df73/Fact-Sheet_UK-Equity-5-Capped-Passive-Fund-LG-PMC-UK-Equity-5-Capped-Passive-Fund-3.pdf,Fact sheet,English"
"L&G PMC UK Equity Index Fund 3","NBC3","GB00B4MV7743","Equity","Passive","UK All Companies","FTSE All-Share Index","0.100","0","0.100","","0.100","https://fundcentres.lgim.com/srp/documents-id/84a5c903-324a-4d02-bd6c-00f844d6d38c/Fact-Sheet_UK-Equity-Index-Fund-LG-PMC-UK-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC UK Smaller Companies Fund 3","EBU3","GB00B4X1ZJ14","Equity","Active","UK Smaller Companies","Numis Smaller Companies ex-Investment Companies Index TR","0.200","0.05","0.200","","0.25","https://fundcentres.lgim.com/srp/documents-id/1025e2cd-1433-431e-8839-16183238cd41/Fact-Sheet_Legal-General-UK-Smaller-Companies-Trust-LG-PMC-UK-Smaller-Companies-Fund-3.pdf,Fact sheet,English"
"L&G PMC UK Smaller Companies Index Fund 3","B0O3","GB00BD1JSN51","Equity","Passive","UK Smaller Companies","FTSE Small Cap Index","0.17","0","0.17","","0.17","https://fundcentres.lgim.com/srp/documents-id/a68a15c0-0afc-4f71-9add-0065aa54b1e1/Fact-Sheet_UK-Smaller-Companies-Index-Fund-LG-PMC-UK-Smaller-Companies-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC World Emerging Markets Equity Index Fund 3","NQM3","GB00B4XB7L79","Equity","Passive","Global Emerging Markets Equities","FTSE Emerging Index","0.250","0.01","0.250","","0.26","https://fundcentres.lgim.com/srp/documents-id/dca97cc7-b683-43dc-8d85-fff138e3a165/Fact-Sheet_World-Emerging-Markets-Equity-Index-Fund-LG-PMC-World-Emerging-Markets-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC World (ex UK) Equity Index Fund 3","NED3","GB00B4QBYH95","Equity","Passive","Global Equities","FTSE World (ex UK) Index","0.12","0","0.12","","0.12","https://fundcentres.lgim.com/srp/documents-id/d77cd10d-b44c-47b7-ac18-407eec4b8803/Fact-Sheet_World-ex-UK-Equity-Index-Fund-LG-PMC-World-ex-UK-Equity-Index-Fund-3.pdf,Fact sheet,English"
