"Name","L&G Fund Code","ISIN","Asset class","Style","ABI sector","Benchmark","Investment management charge","Additional expenses","Basic annual management charge","External funds annual management charge","Fund management charge","Fact sheet"
"L&G PMC Emerging Market US Government Bond G25","BCHY","BCHY","Fixed interest","Passive","Global High Yield","J.P. Morgan Emerging Markets Bond Index (EMBI) Global Diversified","0.32","0","0.32","","0.32","https://fundcentres.lgim.com/srp/documents-id/43c0ddf0-f411-489f-84eb-e5b6ba898d71/Fact-Sheet_Emerging-Market-Passive-US-Currency-Government-Bond-Fund-LG-PMC-Emerging-Market-US-Government-Bond-G25.pdf,Fact sheet,English"
"L&G PMC Ethical Global Equity Index Fund G25","B4JY","GB00BGYBTS18","Equity","Passive","Global Equities","FTSE 4Good Developed Index","0.250","0","0.250","","0.250","https://fundcentres.lgim.com/srp/documents-id/29711e40-a774-40e0-9438-8fbadfa75dbe/Fact-Sheet_FTSE4Good-Developed-Equity-Index-Fund-LG-PMC-Ethical-Global-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Ethical UK Equity Index Fund G25","B6IY","GB00BGYBTT25","Equity","Passive","UK All Companies","FTSE4Good UK Equity Index","0.25","0.00","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/04170106-06c9-4159-8b49-e1a8094531e3/Fact-Sheet_FTSE4Good-UK-Equity-Index-Fund-LG-PMC-Ethical-UK-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Europe (ex UK) Equity Index Fund G25","B0LY","GB00BGYBTV47","Equity","Passive","Europe excluding UK Equities","FTSE Developed Europe ex UK Index","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/3879296a-9b6d-4477-ad89-95e6ca59d2ae/Fact-Sheet_Europe-ex-UK-Equity-Index-Fund-LG-PMC-Europe-ex-UK-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC FTSE Developed Core Infrastructure Index G25","BCKY","BCKY","Equity","Passive","Specialist","FTSE Developed Core Infrastructure Index","0.4","0","0.4","","0.4","https://fundcentres.lgim.com/srp/documents-id/ba9ce6dc-3b93-4758-a69b-21344069fb6b/Fact-Sheet_FTSE-Developed-Core-Infrastructure-Index-Fund-LG-PMC-FTSE-Developed-Core-Infrastructure-Index-G25.pdf,Fact sheet,English"
"L&G PMC Far Eastern Fund G25","B3FY","GB00BGYBV635","Equity","Active","Asia Pacific including Japan Equities","","0.300","0","0.300","","0.3","https://fundcentres.lgim.com/srp/documents-id/cc519e2b-d851-4e29-98ad-79f036ee4ff4/Fact-Sheet_LG-Pension-Far-Eastern-Fund-LG-PMC-Far-Eastern-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Fixed Interest Fund G25","B1FY","GB00BGYBV965","Fixed interest","Active","Sterling Fixed Interest","FTSE Actuaries UK Conventional Gilts All Stocks Index","0.2","0.00","0.2","","0.20","https://fundcentres.lgim.com/srp/documents-id/9f6934ec-188b-4c56-9a9b-7bf1ec53c624/Fact-Sheet_UK-Fixed-Interest-All-Stocks-Fund-LG-PMC-Fixed-Interest-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Fossil Fuel Exclusions Equity Index G25","BQQY","BQQY","Equity","Passive","Global Equities","FTSE All-World TPI Transition ex FF ex Tobacco ex Controversies Index","0.22","0.05","0.22","","0.27","https://fundcentres.lgim.com/srp/documents-id/27a0cada-c556-49ce-bbaf-c749ea840be7/Fact-Sheet_FTSE-TPI-Global-Fossil-Fuel-Exclusions-Equity-Index-Fund-LG-PMC-Global-Fossil-Fuel-Exclusions-Equity-Index-G25.pdf,Fact sheet,English"
"L&G PMC Future World Fund G25","BM6Y","GB00BD1JRF03","Equity","Passive","Global Equities","FTSE All-World ex CW Climate Balanced Factor Index","0.34","0.00","0.34","","0.34","https://fundcentres.lgim.com/srp/documents-id/e06f4d6e-c33f-40b2-939a-1efdec82a14a/Fact-Sheet_Future-World-Fund-LG-PMC-Future-World-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Future World GBP Corporate Bond Index G25","BCMY","BCMY","Fixed interest","Passive","Sterling Corporate Bond","Solactive L&G ESG GBP Investment Grade Corporate TR Index","0.23","0","0.23","","0.23","https://fundcentres.lgim.com/srp/documents-id/548e2eb9-5201-416c-b3a3-b684d21f84d3/Fact-Sheet_Future-World-GBP-Corporate-Bond-Index-Fund-LG-PMC-Future-World-GBP-Corporate-Bond-Index-G25.pdf,Fact sheet,English"
"L&G PMC Future World Global Equity Index G25","BCOY","BCOY","Equity","Passive","Global Equities","Solactive L&G ESG Global Markets Index","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/0370faf1-92ce-4e93-9457-edd37ab9d5f3/Fact-Sheet_Future-World-Global-Equity-Index-Fund-LG-PMC-Future-World-Global-Equity-Index-G25.pdf,Fact sheet,English"
"L&G PMC Future World Multi-Asset Fund G25","BZ4Y","GB00BKWGV028","Multi-asset","Active","Mixed Investment 40-85% Shares","ABI Mixed Investment 40-85% Shares Sector","0.26","0","0.26","","0.26","https://fundcentres.lgim.com/srp/documents-id/8f8d3a6d-0321-4f54-8d57-57ed577d1950/Fact-Sheet_Future-World-Multi-Asset-Fund-LG-PMC-Future-World-Multi-Asset-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Developed Equity Index Fund G25","BAVY","BAVY","Equity","Passive","Global Equities","FTSE Developed World Index","0.2","0","0.2","","0.2","https://fundcentres.lgim.com/srp/documents-id/7dc31185-654b-487f-bf94-da160a3097d4/Fact-Sheet_World-Developed-Equity-Index-Fund-LG-PMC-Global-Developed-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Smaller Companies Equity Index G25","B7JY","GB00BD1FVD45","Equity","Passive","Global Equities","MSCI World Small Cap ex Selected Securities Index","0.32","0","0.32","","0.32","https://fundcentres.lgim.com/srp/documents-id/4000a3cc-88b6-444f-8088-4f9468a0874c/Fact-Sheet_MSCI-World-Small-Cap-ESG-Exclusions-Equity-Index-Fund-LG-PMC-Global-Smaller-Companies-Equity-Index-G25.pdf,Fact sheet,English"
"L&G PMC Global Emerging Markets Index Fund G25","B6HY","GB00BGYBVB88","Equity","Passive","Global Emerging Markets Equities","S&P/IFCI Composite Global Emerging Markets Index","0.250","0","0.250","","0.25","https://fundcentres.lgim.com/srp/documents-id/873a3570-6f59-4d4c-98df-fe6c56a215f1/Fact-Sheet_Global-Emerging-Markets-Equity-Index-Fund-LG-PMC-Global-Emerging-Markets-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity (70:30) Index Fund G25","B1HY","GB00BGYBVD03","Equity","Passive","Global Equities","Composite of 70/30 distribution between UK and overseas","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/c32513a4-c43d-45a3-8e9a-77e61dbc0384/Fact-Sheet_Global-Equity-7030-Index-Fund-LG-PMC-Global-Equity-7030-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity Fixed Weights (50:50) Index Fund G25","B3IY","GB00BGYBVF27","Equity","Passive","Global Equities","Composite of 50/50 distribution between UK and overseas","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/b63c3be8-1b58-4936-8bcd-25c3d1fde602/Fact-Sheet_Global-Equity-Fixed-Weights-5050-Index-Fund-LG-PMC-Global-Equity-Fixed-Weights-5050-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity Fixed Weights (50:50) Index Fund - GBP Currency Hedged G25","B0KY","GB00BGYBVL86","Equity","Passive","Global Equities","Composite of 50/50 distribution between UK and overseas","0.250","0","0.250","","0.250","https://fundcentres.lgim.com/srp/documents-id/d5fbcf48-92c3-4868-b7c2-1fd748dc3adb/Fact-Sheet_Global-Equity-Fixed-Weights-5050-Index-Fund-LG-PMC-Global-Equity-Fixed-Weights-5050-Index-Fund-GBP-Currency-Hedged-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity Fixed Weights (60:40) Index Fund G25","B9HY","GB00BGYBVH41","Equity","Passive","Global Equities","Composite of 60/40 distribution between UK and overseas","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/0de9caaa-2760-43af-8a1d-d5e6c0a1b093/Fact-Sheet_Global-Equity-Fixed-Weights-6040-Index-Fund-LG-PMC-Global-Equity-Fixed-Weights-6040-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Global Equity Market Weights (30:70) Index Fund - GBP 75% Currency Hedged G25","B3LY","GB00BGYBVK79","Equity","Passive","Global Equities","Composite of 30/70 distribution between UK and overseas, 75% GBP Hedged","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/9fcaa889-bfb7-498d-9382-1f97d4c2779d/Fact-Sheet_Global-Equity-Market-Weights-3070-Index-Fund-GBP-75-Currency-Hedged-LG-PMC-Global-Equity-Market-Weights-3070-Index-Fund-GBP-75-Currency-Hedged-G25.pdf,Fact sheet,English"
"L&G PMC Global Real Estate Equity Index Fund G25","B4KY","GB00BD1FVG75","Equity","Passive","Property Other","FTSE EPRA/NAREIT Developed Real Estate Index","0.29","0","0.29","","0.29","https://fundcentres.lgim.com/srp/documents-id/fe5c5e95-2052-4530-8d1d-7e28849baaba/Fact-Sheet_Global-Real-Estate-Equity-Index-Fund-LG-PMC-Global-Real-Estate-Equity-Index-Fund-G25.pdf,Fact sheet,English"
"L&G PMC HSBC Global Sukuk Fund G25","BFVY","","Fixed interest","Active","Specialist","tbc","0.30","0.12","0.30","","0.42","https://fundcentres.lgim.com/srp/documents-id/96453482-7f40-4b82-97c7-440093494573/Fact-Sheet_Global-Sukuk-LG-PMC-HSBC-Global-Sukuk-Fund-G25.pdf,Fact sheet,English"
"L&G PMC HSBC Islamic Global Equity Index Fund G25","BN8Y","GB00BD1JRH27","Equity","Passive","Global Equities","","0.33","0.12","0.33","","0.45","https://fundcentres.lgim.com/srp/documents-id/bf7caa62-7482-474d-b2e6-4ec888848365/Fact-Sheet_HSBC-Islamic-Global-Equity-Index-Fund-Legal-General-Pension-PMC-HSBC-Islamic-Global-Equity-Index-Fund.pdf,Fact sheet,English"
"L&G PMC HSBC Shariah Multi-Asset Fund G25","BFUY","","Multi-asset","Active","Flexible Investment","CPI + 4%","0.25","0.25","0.25","","0.42","https://fundcentres.lgim.com/srp/documents-id/329bff3a-1ca3-40b6-a084-23059e34d456/Fact-Sheet_Shariah-Multi-Asset-LG-PMC-HSBC-Shariah-Multi-Asset-Fund-G25.pdf,Fact sheet,English"
"L&G PMC High Income Fund G25","B9FY","GB00BGYBVN01","Fixed interest","Active","Sterling High Yield","ICE BofA BB-B Global High Yield Non Financials 2% Constrained Total Return Index (GBP Hedged).","0.2","0","0.2","","0.2","https://fundcentres.lgim.com/srp/documents-id/34d984a3-13ba-4d12-b7e7-a3b609349885/Fact-Sheet_High-Yield-Bond-Fund-LG-PMC-High-Income-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Baillie Gifford Positive Change Fund G25","BCPY","BCPY","Equity","Active","Global Equities","","0.6","0.03","0.6","","0.63","https://fundcentres.lgim.com/srp/documents-id/eefbdee4-e9d7-42ef-88e0-c476a873f0d4/Fact-Sheet_Baillie-Gifford-Positive-Change-LG-PMC-Baillie-Gifford-Positive-Change-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Index-Linked Gilt Fund G25","B4FY","GB00BGYBVR49","Fixed interest","Active","UK Index-linked Gilts","FTSE Actuaries UK Index-Linked Gilts Over 5 Years Index","0.2","0.00","0.2","","0.20","https://fundcentres.lgim.com/srp/documents-id/bb3659d6-a85d-4463-b3f4-edce01bfa5bc/Fact-Sheet_Index-Linked-Bond-Fund-LG-PMC-Index-Linked-Gilt-Fund-G25.pdf,Fact sheet,English"
"L&G PMC International Fund G25","B5FY","GB00BGYBVV84","Equity","Active","Global Equities","","0.3","0","0.3","","0.3","https://fundcentres.lgim.com/srp/documents-id/b3e651e6-0adc-4f4f-81b1-f1eb86ef8139/Fact-Sheet_LG-Pension-International-Fund-LG-PMC-International-Fund-G25.pdf,Fact sheet,English"
