"Name","L&G Fund Code","ISIN","Asset class","Style","ABI sector","Benchmark","Investment management charge","Additional expenses","Basic annual management charge","External funds annual management charge","Fund management charge","Fact sheet"
"L&G PMC Future World Annuity Aware G25","B5JY","GB00BGYBWJ30","Fixed interest","Passive","Sterling Long Bond","FTSE Annuities Index","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/3175896f-ffba-4c85-b9ef-dbb6501b120f/Fact-Sheet_Future-World-Annuity-Aware-Fund-LG-PMC-Future-World-Annuity-Aware-G25.pdf,Fact sheet,English"
"L&G PMC Future World Inflation Linked Annuity Aware Fund G25","B6JY","GB00BGYBWK45","Fixed interest","Passive","Sterling Long Bond","Inflation Linked Annuity Aware Composite","0.230","0","0.230","","0.230","https://fundcentres.lgim.com/srp/documents-id/ecb6b8dc-fdb3-4144-87ab-9bd5365ca3fb/Fact-Sheet_Future-World-Inflation-Linked-Annuity-Aware-Fund-LG-PMC-Future-World-Inflation-Linked-Annuity-Aware-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Future World Inflation Sensitive Annuity Aware Fund G25","B5IY","GB00BGYBWL51","Fixed interest","Passive","Sterling Long Bond","FTSE Annuities Index","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/fc1180f3-c601-4509-bca4-4c202f64ff31/Fact-Sheet_Future-World-Inflation-Sensitive-Annuity-Aware-Fund-LG-PMC-Future-World-Inflation-Sensitive-Annuity-Aware-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Retirement Income Multi-Asset Fund G25","B3KY","GB00BGYBWQ07","Multi-asset","Active","Specialist","Bank of England base rate +3.5%","0.350","0.03","0.350","","0.38","https://fundcentres.lgim.com/srp/documents-id/1d87761f-bbac-4dbb-b674-caaf4e121dcd/Fact-Sheet_Retirement-Income-Multi-Asset-Fund-LG-PMC-Retirement-Income-Multi-Asset-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Sterling Liquidity Fund G25","B8LY","GB00BGYBWV59","Cash","Active","Money Market","SONIA","0.200","0.01","0.200","","0.21","https://fundcentres.lgim.com/srp/documents-id/64d23c10-9679-46b5-b336-ae8b6ba015d8/Fact-Sheet_Sterling-Liquidity-Fund-LG-PMC-Sterling-Liquidity-Fund-G25.pdf,Fact sheet,English"
"L&G PMC Sustainable Property Fund G25","B8FY","GB00BGYBWP99","Property","Active","UK Direct Property","","0.39","0.88","0.39","","1.27","https://fundcentres.lgim.com/srp/documents-id/4daf5094-1d11-4ab5-85e2-6859b555eb7c/Fact-Sheet_LGIM-LGIM-Sustainable-DC-Property-Fund-Fund-LG-PMC-Sustainable-Property-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2015 - 2020 Target Date Fund G25","BF2Y","GB00BJXRG802","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/0c8b398b-5a5a-481f-b0fc-4c5901bfd9fc/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2015-2020-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2020 - 2025 Target Date Fund G25","BF3Y","GB00BJXRG919","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/06785226-ec57-40c3-908c-a318d0426a56/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2020-2025-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2025 - 2030 Target Date Fund G25","BF4Y","GB00BJXRGB38","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/9972fd6d-3c6f-476a-a023-d3edea07071b/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2025-2030-Target-Date-Fund-G25.pdf,Fact sheet,English"
"L&G PMC 2030 - 2035 Target Date Fund G25","BF5Y","GB00BJXRGC45","Target date","Active","Specialist","Composite","0.25","0","0.25","","0.25","https://fundcentres.lgim.com/srp/documents-id/32893487-f1d4-4579-a777-111f82d4c7f8/Fact-Sheet_Workplace-Pathway-Funds-Journey-Plan-2-LG-PMC-2030-2035-Target-Date-Fund-G25.pdf,Fact sheet,English"
